name,height(cm),weight(kg),position,games,pts,trb,ast,fg_pct,fg3_pct,ft_pct,efg,per,ws
Evan Fournier,201.0,92.0,SG,57.0,17.8,3.2,2.9,45.9,37.9,86.7,53.8,15.5,3.3
Jonathan Isaac,208.0,95.0,PF,27.0,5.4,3.7,0.7,37.9,34.8,76.0,43.4,9.8,0.2
Jonathon Simmons,198.0,88.0,SG,69.0,13.9,3.5,2.5,46.5,33.8,76.8,51.1,12.7,1.9
Wesley Iwundu,201.0,87.0,SF,62.0,3.7,2.2,0.9,42.7,19.6,72.3,44.7,7.8,0.7
Marreese Speights,208.0,115.0,PF,52.0,7.7,2.6,0.8,39.5,36.9,72.7,51.9,13.7,0.6
Arron Afflalo,196.0,95.0,SF,53.0,3.4,1.2,0.6,40.1,38.6,84.6,48.5,5.8,0.1
Khem Birch,206.0,99.0,C,42.0,4.2,4.3,0.8,54.0,,68.9,54.0,16.4,1.8
Shelvin Mack,190.0,92.0,SG,69.0,6.9,2.4,3.9,43.0,34.5,71.1,48.8,13.3,2.0
Jamel Artis,201.0,96.0,SG,15.0,5.1,2.5,1.2,39.2,27.6,58.3,44.3,6.9,0.0
Rodney Purvis,193.0,92.0,SG,16.0,6.0,1.7,1.1,32.7,25.0,86.7,38.8,4.5,-0.3
Dennis Schroder,185.0,78.0,PG,67.0,19.4,3.1,6.2,43.6,29.0,84.9,46.9,17.3,2.6
Kent Bazemore,196.0,91.0,SG,65.0,12.9,3.8,3.5,42.0,39.4,79.6,50.0,14.5,2.2
Malcolm Delaney,190.0,86.0,PG,54.0,6.3,1.9,3.0,38.2,37.1,80.4,46.3,10.6,1.0
Taurean Prince,203.0,99.0,SF,82.0,14.1,4.7,2.6,42.6,38.5,84.4,51.6,12.8,2.0
DeAndre' Bembry,198.0,95.0,SF,26.0,5.2,2.8,1.9,41.4,36.7,57.6,45.7,7.6,-0.4
Miles Plumlee,211.0,112.0,C,55.0,4.3,4.1,0.8,58.3,,45.0,58.3,10.6,0.9
John Collins,208.0,106.0,PF,74.0,10.5,7.3,1.3,57.6,34.0,71.5,59.1,18.3,5.4
Tyler Dorsey,196.0,83.0,SG,56.0,7.2,2.3,1.4,37.6,36.0,71.4,47.0,10.0,0.4
Dewayne Dedmon,213.0,111.0,C,62.0,10.0,7.9,1.5,52.4,35.5,77.9,57.7,15.8,3.7
Mike Muscala,211.0,108.0,C,53.0,7.6,4.3,1.0,45.8,37.1,91.9,55.8,14.4,2.4
Isaiah Taylor,190.0,77.0,PG,67.0,6.6,1.4,3.1,41.8,25.0,70.2,44.4,10.9,0.6
Tyler Cavanaugh,206.0,108.0,PF,39.0,4.7,3.3,0.7,44.1,36.0,81.0,54.6,13.0,1.2
Andrew White,201.0,95.0,SF,15.0,4.6,2.3,0.4,34.2,36.7,25.0,46.6,5.8,-0.1
Antonius Cleveland,198.0,88.0,SG,17.0,1.4,0.8,0.1,38.1,75.0,66.7,45.2,4.5,0.0
Jaylen Morris,196.0,83.0,SG,6.0,4.7,2.7,1.2,41.9,22.2,,45.2,6.9,-0.1
Damion Lee,198.0,95.0,SG,15.0,10.7,4.7,1.9,40.8,25.0,75.9,45.7,12.0,0.4
